# FFI Unit Definitions
# Format: discriminant,dimension,name,symbol,ratio[,rust_type]
# Discriminant encoding: DSSCC where D=dimension (1 digit), SS=system (2 digits), CC=counter (2 digits)
# Ratio is the conversion factor to the canonical unit for that dimension
# Canonical units: Meter (Length), Second (Time), Radian (Angle), Gram (Mass), Watt (Power)
# rust_type (optional 6th field): Rust quantity type path for auto-generating From/TryFrom impls

# Length units (1xxxx): 100xx=SI, 110xx=Astronomical, 120xx=Imperial, 130xx=Nautical, 150xx=Nominal
10000,Length,PlanckLength,l_P,1.616255e-35,qtty::length::PlanckLengths
10001,Length,Yoctometer,ym,1e-24,qtty::length::Yoctometers
10002,Length,Zeptometer,zm,1e-21,qtty::length::Zeptometers
10003,Length,Attometer,am,1e-18,qtty::length::Attometers
10004,Length,Femtometer,fm,1e-15,qtty::length::Femtometers
10005,Length,Picometer,pm,1e-12,qtty::length::Picometers
10006,Length,Nanometer,nm,1e-9,qtty::length::Nanometers
10007,Length,Micrometer,µm,1e-6,qtty::length::Micrometers
10008,Length,Millimeter,mm,0.001,qtty::length::Millimeters
10009,Length,Centimeter,cm,0.01,qtty::length::Centimeters
10010,Length,Decimeter,dm,0.1,qtty::length::Decimeters
10011,Length,Meter,m,1.0,qtty::length::Meters
10012,Length,Decameter,dam,10.0,qtty::length::Decameters
10013,Length,Hectometer,hm,100.0,qtty::length::Hectometers
10014,Length,Kilometer,km,1000.0,qtty::length::Kilometers
10015,Length,Megameter,Mm,1e6,qtty::length::Megameters
10016,Length,Gigameter,Gm,1e9,qtty::length::Gigameters
10017,Length,Terameter,Tm,1e12,qtty::length::Terameters
10018,Length,Petameter,Pm,1e15,qtty::length::Petameters
10019,Length,Exameter,Em,1e18,qtty::length::Exameters
10020,Length,Zettameter,Zm,1e21,qtty::length::Zettameters
10021,Length,Yottameter,Ym,1e24,qtty::length::Yottameters
11000,Length,BohrRadius,a₀,5.29177210903e-11,qtty::length::BohrRadii
11001,Length,ClassicalElectronRadius,r_e,2.8179403262e-15,qtty::length::ClassicalElectronRadii
11002,Length,ElectronReducedComptonWavelength,λ̄_e,3.8615926796e-13,qtty::length::ElectronReducedComptonWavelengths
11003,Length,AstronomicalUnit,au,149597870700.0,qtty::length::AstronomicalUnits
11004,Length,LightYear,ly,9460730472580800.0,qtty::length::LightYears
11005,Length,Parsec,pc,30856775814913672.8,qtty::length::Parsecs
11006,Length,Kiloparsec,kpc,3.085_677_581_491_367e19,qtty::length::Kiloparsecs
11007,Length,Megaparsec,Mpc,3.085_677_581_491_367e22,qtty::length::Megaparsecs
11008,Length,Gigaparsec,Gpc,3.085_677_581_491_367e25,qtty::length::Gigaparsecs
12000,Length,Inch,in,0.0254,qtty::length::Inches
12001,Length,Foot,ft,0.3048,qtty::length::Feet
12002,Length,Yard,yd,0.9144,qtty::length::Yards
12003,Length,Mile,mi,1609.344,qtty::length::Miles
13000,Length,Link,lk,0.201168,qtty::length::Links
13001,Length,Fathom,ftm,1.8288,qtty::length::Fathoms
13002,Length,Rod,rd,5.0292,qtty::length::Rods
13003,Length,Chain,ch,20.1168,qtty::length::Chains
13004,Length,NauticalMile,nmi,1852.0,qtty::length::NauticalMiles
15000,Length,NominalLunarRadius,R_☾,1.7374e6,qtty::length::nominal::LunarRadii
15001,Length,NominalLunarDistance,LD,3.844e8,qtty::length::nominal::LunarDistances
15002,Length,NominalEarthPolarRadius,R_⊕pol,6.3568e6,qtty::length::nominal::EarthPolarRadii
15003,Length,NominalEarthRadius,R_⊕,6.3781e6,qtty::length::nominal::EarthRadii
15004,Length,NominalEarthEquatorialRadius,R_⊕eq,6.3781e6,qtty::length::nominal::EarthEquatorialRadii
15005,Length,EarthMeridionalCircumference,C_mer,40007862.917,qtty::length::EarthMeridionalCircumferences
15006,Length,EarthEquatorialCircumference,C_eq,40075016.686,qtty::length::EarthEquatorialCircumferences
15007,Length,NominalJupiterRadius,R_♃,7.1492e7,qtty::length::nominal::JupiterRadii
15008,Length,NominalSolarRadius,R_☉,6.957e8,qtty::length::nominal::SolarRadiuses
15009,Length,NominalSolarDiameter,D_☉,1.3914e9,qtty::length::nominal::SolarDiameters
# Time units (2xxxx): 200xx=SI, 210xx=Common, 220xx=Calendar, 230xx=Astronomical
20000,Time,Attosecond,as,1e-18,qtty::time::Attoseconds
20001,Time,Femtosecond,fs,1e-15,qtty::time::Femtoseconds
20002,Time,Picosecond,ps,1e-12,qtty::time::Picoseconds
20003,Time,Nanosecond,ns,1e-9,qtty::time::Nanoseconds
20004,Time,Microsecond,µs,1e-6,qtty::time::Microseconds
20005,Time,Millisecond,ms,0.001,qtty::time::Milliseconds
20006,Time,Centisecond,cs,0.01,qtty::time::Centiseconds
20007,Time,Decisecond,ds,0.1,qtty::time::Deciseconds
20008,Time,Second,s,1.0,qtty::time::Seconds
20009,Time,Decasecond,das,10.0,qtty::time::Decaseconds
20010,Time,Hectosecond,hs,100.0,qtty::time::Hectoseconds
20011,Time,Kilosecond,ks,1000.0,qtty::time::Kiloseconds
20012,Time,Megasecond,Ms,1e6,qtty::time::Megaseconds
20013,Time,Gigasecond,Gs,1e9,qtty::time::Gigaseconds
20014,Time,Terasecond,Ts,1e12,qtty::time::Teraseconds
21000,Time,Minute,min,60.0,qtty::time::Minutes
21001,Time,Hour,h,3600.0,qtty::time::Hours
21002,Time,Day,d,86400.0,qtty::time::Days
21003,Time,Week,wk,604800.0,qtty::time::Weeks
21004,Time,Fortnight,fn,1209600.0,qtty::time::Fortnights
22000,Time,Year,yr,31557600.0,qtty::time::Years
22001,Time,Decade,dec,315576000.0,qtty::time::Decades
22002,Time,Century,c,3155760000.0,qtty::time::Centuries
22003,Time,Millennium,mill,31557600000.0,qtty::time::Millennia
22004,Time,JulianYear,a,31557600.0,qtty::time::JulianYears
22005,Time,JulianCentury,jc,3155760000.0,qtty::time::JulianCenturies
23000,Time,SiderealDay,sd,86164.0905,qtty::time::SiderealDays
23001,Time,SynodicMonth,mo_s,2551442.976,qtty::time::SynodicMonths
23002,Time,SiderealYear,yr_s,31558149.7635456,qtty::time::SiderealYears
# Angle units (3xxxx): 300xx=Radian, 310xx=Degree, 320xx=Other
30000,Angle,Milliradian,mrad,0.001,qtty::angular::Milliradians
30001,Angle,Radian,rad,1.0,qtty::angular::Radians
31000,Angle,MicroArcsecond,µas,4.84813681109536e-12,qtty::angular::MicroArcseconds
31001,Angle,MilliArcsecond,mas,4.84813681109536e-9,qtty::angular::MilliArcseconds
31002,Angle,Arcsecond,″,4.84813681109536e-6,qtty::angular::Arcseconds
